"","main_experiment_tank","date_sampled","seaweed_id"
"1",NA,"12/06/2025","AB13"
"2",NA,"12/06/2025","AB14"
"3",6,"04/06/2025","AB17"
"4",6,"12/06/2025","AB17"
"5",4,"04/06/2025","AB18"
"6",4,"12/06/2025","AB18"
"7",5,"04/06/2025","AB19"
"8",5,"12/06/2025","AB19"
"9",4,"04/06/2025","AB20"
"10",2,"04/06/2025","AB21"
"11",2,"12/06/2025","AB21"
"12",5,"04/06/2025","AB22"
"13",2,"04/06/2025","AB23"
"14",2,"12/06/2025","AB23"
"15",6,"04/06/2025","AB24"
"16",6,"12/06/2025","AB24"
"17",2,"04/06/2025","AB25"
"18",2,"12/06/2025","AB25"
"19",3,"04/06/2025","AB26"
"20",3,"12/06/2025","AB26"
"21",3,"04/06/2025","AB27"
"22",3,"12/06/2025","AB27"
"23",6,"04/06/2025","AB28"
"24",6,"12/06/2025","AB28"
"25",5,"04/06/2025","AB29"
"26",5,"12/06/2025","AB29"
"27",4,"04/06/2025","AB30"
"28",4,"12/06/2025","AB30"
"29",3,"04/06/2025","AB31"
"30",3,"12/06/2025","AB31"
"31",7,"04/06/2025","AB32"
"32",7,"12/06/2025","AB32"
"33",7,"12/06/2025","AG34"
"34",2,"04/06/2025","AG35"
"35",2,"12/06/2025","AG35"
"36",5,"04/06/2025","AG36"
"37",3,"04/06/2025","AG37"
"38",3,"12/06/2025","AG37"
"39",6,"04/06/2025","AG39"
"40",6,"12/06/2025","AG39"
"41",5,"04/06/2025","AG40"
"42",5,"12/06/2025","AG40"
"43",3,"04/06/2025","AG41"
"44",2,"04/06/2025","AG42"
"45",2,"12/06/2025","AG42"
"46",4,"04/06/2025","AG44"
"47",4,"12/06/2025","AG44"
"48",4,"04/06/2025","AG45"
"49",4,"12/06/2025","AG45"
"50",4,"04/06/2025","AG46"
"51",4,"12/06/2025","AG46"
"52",2,"04/06/2025","AG47"
"53",2,"12/06/2025","AG47"
"54",7,"04/06/2025","AG48"
"55",7,"12/06/2025","AG48"
"56",NA,"04/06/2025","AG9"
"57",NA,"04/06/2025","AO9"
"58",7,"04/06/2025","AR1"
"59",7,"12/06/2025","AR1"
"60",7,"04/06/2025","AR2"
"61",7,"12/06/2025","AR2"
"62",5,"04/06/2025","AR3"
"63",5,"12/06/2025","AR3"
"64",7,"04/06/2025","AR4"
"65",7,"12/06/2025","AR4"
"66",6,"04/06/2025","AR5"
"67",6,"12/06/2025","AR5"
"68",4,"04/06/2025","AR6"
"69",4,"12/06/2025","AR6"
"70",3,"04/06/2025","AR7"
"71",6,"04/06/2025","AR9"
"72",6,"12/06/2025","AR9"
"73",6,"04/06/2025","AW1"
"74",6,"12/06/2025","AW1"
"75",5,"04/06/2025","AW10"
"76",5,"12/06/2025","AW10"
"77",2,"04/06/2025","AW11"
"78",2,"12/06/2025","AW11"
"79",2,"04/06/2025","AW12"
"80",2,"12/06/2025","AW12"
"81",3,"04/06/2025","AW13"
"82",3,"12/06/2025","AW13"
"83",7,"04/06/2025","AW15"
"84",7,"12/06/2025","AW15"
"85",5,"04/06/2025","AW16"
"86",5,"12/06/2025","AW16"
"87",3,"04/06/2025","AW2"
"88",3,"12/06/2025","AW2"
"89",4,"04/06/2025","AW3"
"90",4,"12/06/2025","AW3"
"91",6,"04/06/2025","AW4"
"92",6,"12/06/2025","AW4"
"93",NA,"04/06/2025","AW40"
"94",3,"04/06/2025","AW5"
"95",4,"04/06/2025","AW6"
"96",4,"12/06/2025","AW6"
"97",7,"04/06/2025","AW7"
"98",7,"12/06/2025","AW7"
"99",2,"04/06/2025","AW8"
"100",2,"12/06/2025","AW8"
"101",5,"04/06/2025","AW9"
"102",5,"12/06/2025","AW9"
"103",NA,"12/06/2025","YO00"
"104",7,"04/06/2025","YO01"
"105",NA,"04/06/2025","YO01"
"106",7,"12/06/2025","YO01"
"107",NA,"12/06/2025","YO01"
"108",3,"04/06/2025","YO02"
"109",NA,"04/06/2025","YO02"
"110",3,"12/06/2025","YO02"
"111",NA,"12/06/2025","YO02"
"112",2,"04/06/2025","YO03"
"113",NA,"04/06/2025","YO03"
"114",2,"12/06/2025","YO03"
"115",NA,"12/06/2025","YO03"
"116",3,"04/06/2025","YO04"
"117",NA,"04/06/2025","YO04"
"118",3,"12/06/2025","YO04"
"119",NA,"12/06/2025","YO04"
"120",4,"04/06/2025","YO05"
"121",NA,"04/06/2025","YO05"
"122",4,"12/06/2025","YO05"
"123",NA,"12/06/2025","YO05"
"124",6,"04/06/2025","YO06"
"125",NA,"04/06/2025","YO06"
"126",6,"12/06/2025","YO06"
"127",NA,"12/06/2025","YO06"
"128",3,"12/06/2025","YO07"
"129",NA,"12/06/2025","YO07"
"130",3,"04/06/2025","YO07"
"131",NA,"04/06/2025","YO07"
"132",6,"04/06/2025","YO08"
"133",NA,"04/06/2025","YO08"
"134",6,"12/06/2025","YO08"
"135",NA,"12/06/2025","YO08"
"136",2,"04/06/2025","YO09"
"137",NA,"04/06/2025","YO09"
"138",2,"12/06/2025","YO09"
"139",NA,"12/06/2025","YO09"
"140",7,"04/06/2025","YO10"
"141",NA,"04/06/2025","YO10"
"142",4,"04/06/2025","YO11"
"143",NA,"04/06/2025","YO11"
"144",4,"12/06/2025","YO11"
"145",NA,"12/06/2025","YO11"
"146",6,"04/06/2025","YO12"
"147",NA,"04/06/2025","YO12"
"148",6,"12/06/2025","YO12"
"149",NA,"12/06/2025","YO12"
"150",7,"04/06/2025","YO13"
"151",NA,"04/06/2025","YO13"
"152",7,"12/06/2025","YO13"
"153",NA,"12/06/2025","YO13"
"154",5,"04/06/2025","YO14"
"155",NA,"04/06/2025","YO14"
"156",5,"12/06/2025","YO14"
"157",NA,"12/06/2025","YO14"
"158",3,"04/06/2025","YO15"
"159",NA,"04/06/2025","YO15"
"160",3,"12/06/2025","YO15"
"161",NA,"12/06/2025","YO15"
"162",5,"04/06/2025","YO16"
"163",NA,"04/06/2025","YO16"
"164",5,"12/06/2025","YO16"
"165",NA,"12/06/2025","YO16"
"166",2,"04/06/2025","YO17"
"167",NA,"04/06/2025","YO17"
"168",2,"12/06/2025","YO17"
"169",NA,"12/06/2025","YO17"
"170",3,"04/06/2025","YO18"
"171",NA,"04/06/2025","YO18"
"172",3,"12/06/2025","YO18"
"173",NA,"12/06/2025","YO18"
"174",2,"04/06/2025","YO19"
"175",NA,"04/06/2025","YO19"
"176",2,"12/06/2025","YO19"
"177",NA,"12/06/2025","YO19"
"178",5,"04/06/2025","YO20"
"179",NA,"04/06/2025","YO20"
"180",5,"12/06/2025","YO20"
"181",NA,"12/06/2025","YO20"
"182",3,"04/06/2025","YO21"
"183",NA,"04/06/2025","YO21"
"184",3,"12/06/2025","YO21"
"185",NA,"12/06/2025","YO21"
"186",4,"04/06/2025","YO22"
"187",NA,"04/06/2025","YO22"
"188",4,"12/06/2025","YO22"
"189",NA,"12/06/2025","YO22"
"190",2,"04/06/2025","YO23"
"191",NA,"04/06/2025","YO23"
"192",2,"12/06/2025","YO23"
"193",NA,"12/06/2025","YO23"
"194",NA,"04/06/2025","YO24"
"195",2,"04/06/2025","YO25"
"196",NA,"04/06/2025","YO25"
"197",2,"12/06/2025","YO25"
"198",NA,"12/06/2025","YO25"
"199",NA,"12/06/2025",""
"200",2,"02/07/2025","AB21"
"201",2,"02/07/2025","AB25"
"202",2,"02/07/2025","AG42"
"203",2,"02/07/2025","AG47"
"204",3,"02/07/2025","AB31"
"205",3,"02/07/2025","AB26"
"206",3,"02/07/2025","AB27"
"207",4,"02/07/2025","AW6"
"208",4,"02/07/2025","AB30"
"209",4,"02/07/2025","AG45"
"210",4,"02/07/2025","AW3"
"211",5,"02/07/2025","AB19"
"212",5,"02/07/2025","AW9"
"213",5,"02/07/2025","AG40"
"214",6,"02/07/2025","AB17"
"215",6,"02/07/2025","AB24"
"216",6,"02/07/2025","AG39"
"217",6,"02/07/2025","AW1"
"218",6,"02/07/2025","AW14"
"219",7,"02/07/2025","AW7"
"220",7,"02/07/2025","AR1"
