sample_id,qubit_conc,ND_conc,a260_280,a260_230,d230_w,d280_w,.w
2c4,5.6,30.28,2.489,1.128,-0.8720000000000001,0.4889999999999999,0.9179756979303991
2b4,6.36,8.77,2.889,-0.848,-2.848,0.8889999999999998,0.948560265765492
1d4,5.26,3.38,-0.644,-0.096,-2.096,-1.78975,0.9865924286828436
1b3,3.84,5.45,3.213,-0.408,-2.408,1.213,0.9907539726641389
2a4,11,21.69,2.628,1.068,-0.9319999999999999,0.6280000000000001,0.9936904182159821
1a1,0.194,-0.67,0.495,-0.545,-2.545,-1.505,1
1a3,5.68,12.88,2.628,1.149,-0.851,0.6280000000000001,1
1a4,3.52,10.75,2.928,1.29,-0.71,0.9279999999999999,1
1b2,4.98,6.72,2.731,-15.571,-15.909749999999999,0.7309999999999999,1
1b4,6.42,23.42,2.714,0.453,-1.547,0.714,1
1d6,6.58,17.62,2.572,-8.696,-10.696,0.5720000000000001,1
2a2,8.91,31.31,2.354,3.301,1.3010000000000002,0.3540000000000001,1
2b2,12.7,18.9,2.491,-13.356,-15.356,0.4910000000000001,1
2d2,6.28,21.14,2.72,9.015,2.7295000000000003,0.7200000000000002,1
2d5,7.26,24.33,2.412,-3.433,-5.433,0.4119999999999999,1
2d6,3.1,9.97,3.651,0.497,-1.5030000000000001,1.3225,1
