date_entry,sample_id,ND_conc,Units,a260,a280,a260_280,a260_230,qub_conc
21/10/2025,WESA-APR2-S02-eDNA,46.67,ng/ul,0.933,0.431,2.165,1.907,4.82
21/10/2025,KOA-MAY-S04-EDNA,130.51,ng/ul,2.61,1.273,2.051,1.954,
21/10/2025,MUL-JUN-S02-EDNA,35.23,ng/ul,0.705,0.309,2.283,0.99,
21/10/2025,WESP-APR-03-EDNA,27.55,ng/ul,0.551,0.263,2.096,2.206,4.36
21/10/2025,MUL-APR-S03,7.03,ng/ul,0.141,0.055,2.568,0.378,
21/10/2025,KIL-JUN-S01-EDNA,120.02,ng/ul,2.4,1.132,2.121,2.068,
21/10/2025,WESP-APR-S05-EDNA,56.12,ng/ul,1.122,0.526,2.134,1.689,
21/10/2025,KIL-APR2-S01-EDNA,164.23,ng/ul,3.285,1.55,2.119,2.218,
21/10/2025,KIL-APR-S04-EDNA,158.72,ng/ul,3.174,1.506,2.108,1.705,55.4
21/10/2025,KOA-MAY-SO2-EDNA,76.54,ng/ul,1.531,0.746,2.051,2.212,
21/10/2025,WESA-APR2-S03-EDNA,33.6,ng/ul,0.672,0.32,2.097,1.984,
21/10/2025,MUL-APR-S01-EDNA,14.37,ng/ul,0.287,0.135,2.131,17.301,
21/10/2025,ATL-APR-S05,66.86,ng/ul,1.337,0.636,2.101,2.387,
21/10/2025,OBA-APR-S05-EDNA,138.92,ng/ul,2.778,1.286,2.161,2.067,
21/10/2025,MUL-APR-S05-EDNA,99,ng/ul,1.98,0.913,2.168,2.27,
21/10/2025,KOA-APR-S01-EDNA,38.21,ng/ul,0.764,0.387,1.977,1.658,
21/10/2025,KOA-MAY-S03-EDNA,103.21,ng/ul,2.064,1.047,1.972,1.779,40
21/10/2025,KIL-APR2-S04-EDNA,129.85,ng/ul,2.597,1.196,2.171,2.125,
21/10/2025,OBA-APR-S03-EDNA,129.77,ng/ul,2.595,1.21,2.144,2.337,26.6
21/10/2025,KIL-MAY2-S04-EDNA,104.96,ng/ul,2.099,0.981,2.14,2.16,
21/10/2025,WESP-APR2-S01-EDNA,89.81,ng/ul,1.796,0.84,2.137,1.899,17.1
21/10/2025,WESP-APR-S02-EDNA,204.77,ng/ul,4.095,1.888,2.169,2.155,45.6
21/10/2025,MUL-APR-S02-EDNA,17.97,ng/ul,0.359,0.176,2.037,1.543,
21/10/2025,KIL-APR2-S03-EDNA,133.39,ng/ul,2.668,1.252,2.13,2.518,33.4
21/10/2025,KIL-APR2-S05-EDNA,81.76,ng/ul,1.635,0.773,2.114,2.631,21.2
21/10/2025,ATL-APR-S04-EDNA,68.09,ng/ul,1.362,0.649,2.098,1.99,
21/10/2025,KIL-APR2-S02,146.88,ng/ul,2.938,1.382,2.126,2.319,
21/10/2025,MUL-JUN-S04-EDNA,9.6,ng/ul,0.192,0.086,2.24,19.301,
21/10/2025,ALG-APR-1NE-EDNA,31.12,ng/ul,0.622,0.296,2.104,3.518,8.9
21/10/2025,MUL-JUL-S03-EDNA,55.78,ng/ul,1.116,0.514,2.172,1.023,
21/10/2025,MUL-APR-S04-EDNA,30.44,ng/ul,0.609,0.28,2.172,4.043,
21/10/2025,WESA-APR1-S02-EDNA,114.19,ng/ul,2.284,1.055,2.165,1.997,
21/10/2025,WESP-APR2-S04-EDNA,82.69,ng/ul,1.654,0.777,2.13,2.434,
21/10/2025,WESA-APR2-S04-EDNA,70.75,ng/ul,1.415,0.78,1.815,0.935,8.82
21/10/2025,ATL-APR2-S02-EDNA,53.5,ng/ul,1.07,0.487,2.197,0.935,8.92
21/10/2025,NTN-APR2-S01,47.37,ng/ul,0.947,0.452,2.097,0.796,15.6
21/10/2025,ATL-APR2-S03-EDNA,42.73,ng/ul,0.855,0.39,2.192,2.313,
21/10/2025,SEA-APR-S03-EDNA,64.94,ng/ul,1.299,0.611,2.127,2.13,
21/10/2025,WESA-APR1-S01-EDNA,112.52,ng/ul,2.25,1.038,2.167,2.188,
21/10/2025,KIL-MAY-S05-EDNA,91.5,ng/ul,1.83,0.882,2.074,1.528,39.2
21/10/2025,WESP-APR-S01-EDNA,64.28,ng/ul,1.286,0.609,2.112,2.012,
21/10/2025,ALG-APR-S01-4-SW,70.1,ng/ul,1.402,0.675,2.078,1.256,19.5
21/10/2025,OBA-APR-S02-EDNA,112.96,ng/ul,2.259,1.081,2.09,1.695,
21/10/2025,ALG-APR-4-NE,55.53,ng/ul,1.111,0.537,2.067,1.675,
21/10/2025,SEA-APR2-S02-EDNA,38.91,ng/ul,0.778,0.364,2.138,1.07,
21/10/2025,NTN-APR-S02-EDNA,72.42,ng/ul,1.448,0.695,2.083,2.405,
21/10/2025,KIL-JUN-S02-EDNA,86.72,ng/ul,1.734,0.82,2.114,2.408,
21/10/2025,BLANK,9.89,ng/ul,0.198,0.127,1.553,0.371,too low
